Size,Ntrial,TestAcc,TrainAcc,ConfMatrix,Config
3,0,0.5887939221272555,0.6545113691340106,[[ 8.         16.33333333] [ 5.33333333 23.        ]],1e-09
3,0,0.570275403608737,0.673621190130624,[[ 7.33333333 17.        ] [ 5.66666667 22.66666667]],1e-08
3,0,0.6011396011396012,0.7277455249153362,[[ 9.66666667 14.66666667] [ 6.33333333 22.        ]],1e-07
3,0,0.6196581196581197,0.7501814223512336,[[12.66666667 11.66666667] [ 8.33333333 20.        ]],1e-06
3,0,0.6512345679012346,0.7183115626511852,[[15.66666667  8.66666667] [ 9.66666667 18.66666667]],1e-05
3,0,0.6640550807217473,0.7088171262699564,[[17.66666667  6.66666667] [11.         17.33333333]],0.0001
3,1,0.5887939221272555,0.6545113691340106,[[ 8.         16.33333333] [ 5.33333333 23.        ]],1e-09
3,1,0.570275403608737,0.673621190130624,[[ 7.33333333 17.        ] [ 5.66666667 22.66666667]],1e-08
3,1,0.6011396011396012,0.7277455249153362,[[ 9.66666667 14.66666667] [ 6.33333333 22.        ]],1e-07
3,1,0.6196581196581197,0.7501814223512336,[[12.66666667 11.66666667] [ 8.33333333 20.        ]],1e-06
3,1,0.6512345679012346,0.7183115626511852,[[15.66666667  8.66666667] [ 9.66666667 18.66666667]],1e-05
3,1,0.6640550807217473,0.7088171262699564,[[17.66666667  6.66666667] [11.         17.33333333]],0.0001
3,2,0.5887939221272555,0.6545113691340106,[[ 8.         16.33333333] [ 5.33333333 23.        ]],1e-09
3,2,0.570275403608737,0.673621190130624,[[ 7.33333333 17.        ] [ 5.66666667 22.66666667]],1e-08
3,2,0.6011396011396012,0.7277455249153362,[[ 9.66666667 14.66666667] [ 6.33333333 22.        ]],1e-07
3,2,0.6196581196581197,0.7501814223512336,[[12.66666667 11.66666667] [ 8.33333333 20.        ]],1e-06
3,2,0.6512345679012346,0.7183115626511852,[[15.66666667  8.66666667] [ 9.66666667 18.66666667]],1e-05
3,2,0.6640550807217473,0.7088171262699564,[[17.66666667  6.66666667] [11.         17.33333333]],0.0001
3,3,0.5887939221272555,0.6545113691340106,[[ 8.         16.33333333] [ 5.33333333 23.        ]],1e-09
3,3,0.570275403608737,0.673621190130624,[[ 7.33333333 17.        ] [ 5.66666667 22.66666667]],1e-08
3,3,0.6011396011396012,0.7277455249153362,[[ 9.66666667 14.66666667] [ 6.33333333 22.        ]],1e-07
3,3,0.6196581196581197,0.7501814223512336,[[12.66666667 11.66666667] [ 8.33333333 20.        ]],1e-06
3,3,0.6512345679012346,0.7183115626511852,[[15.66666667  8.66666667] [ 9.66666667 18.66666667]],1e-05
3,3,0.6640550807217473,0.7088171262699564,[[17.66666667  6.66666667] [11.         17.33333333]],0.0001
3,4,0.5887939221272555,0.6545113691340106,[[ 8.         16.33333333] [ 5.33333333 23.        ]],1e-09
3,4,0.570275403608737,0.673621190130624,[[ 7.33333333 17.        ] [ 5.66666667 22.66666667]],1e-08
3,4,0.6011396011396012,0.7277455249153362,[[ 9.66666667 14.66666667] [ 6.33333333 22.        ]],1e-07
3,4,0.6196581196581197,0.7501814223512336,[[12.66666667 11.66666667] [ 8.33333333 20.        ]],1e-06
3,4,0.6512345679012346,0.7183115626511852,[[15.66666667  8.66666667] [ 9.66666667 18.66666667]],1e-05
3,4,0.6640550807217473,0.7088171262699564,[[17.66666667  6.66666667] [11.         17.33333333]],0.0001
3,5,0.5887939221272555,0.6545113691340106,[[ 8.         16.33333333] [ 5.33333333 23.        ]],1e-09
3,5,0.570275403608737,0.673621190130624,[[ 7.33333333 17.        ] [ 5.66666667 22.66666667]],1e-08
3,5,0.6011396011396012,0.7277455249153362,[[ 9.66666667 14.66666667] [ 6.33333333 22.        ]],1e-07
3,5,0.6196581196581197,0.7501814223512336,[[12.66666667 11.66666667] [ 8.33333333 20.        ]],1e-06
3,5,0.6512345679012346,0.7183115626511852,[[15.66666667  8.66666667] [ 9.66666667 18.66666667]],1e-05
3,5,0.6640550807217473,0.7088171262699564,[[17.66666667  6.66666667] [11.         17.33333333]],0.0001
3,6,0.5887939221272555,0.6545113691340106,[[ 8.         16.33333333] [ 5.33333333 23.        ]],1e-09
3,6,0.570275403608737,0.673621190130624,[[ 7.33333333 17.        ] [ 5.66666667 22.66666667]],1e-08
3,6,0.6011396011396012,0.7277455249153362,[[ 9.66666667 14.66666667] [ 6.33333333 22.        ]],1e-07
3,6,0.6196581196581197,0.7501814223512336,[[12.66666667 11.66666667] [ 8.33333333 20.        ]],1e-06
3,6,0.6512345679012346,0.7183115626511852,[[15.66666667  8.66666667] [ 9.66666667 18.66666667]],1e-05
3,6,0.6640550807217473,0.7088171262699564,[[17.66666667  6.66666667] [11.         17.33333333]],0.0001
3,7,0.5887939221272555,0.6545113691340106,[[ 8.         16.33333333] [ 5.33333333 23.        ]],1e-09
3,7,0.570275403608737,0.673621190130624,[[ 7.33333333 17.        ] [ 5.66666667 22.66666667]],1e-08
3,7,0.6011396011396012,0.7277455249153362,[[ 9.66666667 14.66666667] [ 6.33333333 22.        ]],1e-07
3,7,0.6196581196581197,0.7501814223512336,[[12.66666667 11.66666667] [ 8.33333333 20.        ]],1e-06
3,7,0.6512345679012346,0.7183115626511852,[[15.66666667  8.66666667] [ 9.66666667 18.66666667]],1e-05
3,7,0.6640550807217473,0.7088171262699564,[[17.66666667  6.66666667] [11.         17.33333333]],0.0001
3,8,0.5887939221272555,0.6545113691340106,[[ 8.         16.33333333] [ 5.33333333 23.        ]],1e-09
3,8,0.570275403608737,0.673621190130624,[[ 7.33333333 17.        ] [ 5.66666667 22.66666667]],1e-08
3,8,0.6011396011396012,0.7277455249153362,[[ 9.66666667 14.66666667] [ 6.33333333 22.        ]],1e-07
3,8,0.6196581196581197,0.7501814223512336,[[12.66666667 11.66666667] [ 8.33333333 20.        ]],1e-06
3,8,0.6512345679012346,0.7183115626511852,[[15.66666667  8.66666667] [ 9.66666667 18.66666667]],1e-05
3,8,0.6640550807217473,0.7088171262699564,[[17.66666667  6.66666667] [11.         17.33333333]],0.0001
3,9,0.5887939221272555,0.6545113691340106,[[ 8.         16.33333333] [ 5.33333333 23.        ]],1e-09
3,9,0.570275403608737,0.673621190130624,[[ 7.33333333 17.        ] [ 5.66666667 22.66666667]],1e-08
3,9,0.6011396011396012,0.7277455249153362,[[ 9.66666667 14.66666667] [ 6.33333333 22.        ]],1e-07
3,9,0.6196581196581197,0.7501814223512336,[[12.66666667 11.66666667] [ 8.33333333 20.        ]],1e-06
3,9,0.6512345679012346,0.7183115626511852,[[15.66666667  8.66666667] [ 9.66666667 18.66666667]],1e-05
3,9,0.6640550807217473,0.7088171262699564,[[17.66666667  6.66666667] [11.         17.33333333]],0.0001
7,0,0.5946028609072087,0.5897305024829169,[[ 2.14285714  8.28571429] [ 0.85714286 11.28571429]],1e-09
