Size,Ntrial,TestAcc,TrainAcc,ConfMatrix,Config
3,1,0.5892687559354226,1.0,[[13.66666667 10.66666667] [11.         17.33333333]],1_3
3,1,0.6020892687559355,1.0,[[14.         10.33333333] [10.66666667 17.66666667]],1_4
3,1,0.6084995251661919,1.0,[[14.         10.33333333] [10.33333333 18.        ]],1_5
3,1,0.6013770180436847,0.7154088050314465,[[16.          8.33333333] [12.66666667 15.66666667]],6_1
3,1,0.5895061728395061,0.7154692791485244,[[16.          8.33333333] [13.33333333 15.        ]],6_2
3,1,0.595679012345679,0.7123246250604741,[[16.66666667  7.66666667] [13.66666667 14.66666667]],6_3
3,1,0.5954415954415955,0.6964199322689888,[[17.33333333  7.        ] [14.33333333 14.        ]],6_4
3,1,0.5828584995251662,0.6995041122399612,[[17.          7.33333333] [14.66666667 13.66666667]],6_5
3,1,0.5574548907882241,0.7309506531204645,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_1
3,1,0.5641025641025641,0.6961780358006773,[[13.66666667 10.66666667] [12.33333333 16.        ]],11_2
3,1,0.5579297245963912,0.6836598935655539,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_3
3,1,0.5451092117758785,0.683599419448476,[[13.33333333 11.        ] [13.         15.33333333]],11_4
3,1,0.5515194681861348,0.696298984034833,[[13.66666667 10.66666667] [13.         15.33333333]],11_5
3,1,0.576923076923077,0.6805152394775036,[[17.33333333  7.        ] [15.33333333 13.        ]],16_1
3,1,0.570750237416904,0.6866231253023706,[[17.          7.33333333] [15.33333333 13.        ]],16_2
3,1,0.5515194681861348,0.6740445089501693,[[15.          9.33333333] [14.33333333 14.        ]],16_3
3,1,0.5194681861348528,0.6582607643928399,[[14.33333333 10.        ] [15.33333333 13.        ]],16_4
3,1,0.5194681861348528,0.6551765844218674,[[14.33333333 10.        ] [15.33333333 13.        ]],16_5
3,1,0.5574548907882241,0.6741654571843251,[[16.          8.33333333] [15.         13.33333333]],21_1
3,1,0.51329534662868,0.6425979680696662,[[15.          9.33333333] [16.33333333 12.        ]],21_2
3,1,0.5389363722697056,0.6488872762457668,[[15.          9.33333333] [15.         13.33333333]],21_3
3,1,0.5140075973409306,0.6552370585389453,[[14.66666667  9.66666667] [16.         12.33333333]],21_4
3,1,0.5201804368471035,0.652092404450895,[[14.66666667  9.66666667] [15.66666667 12.66666667]],21_5
3,1,0.5638651471984805,0.6865626511852927,[[17.33333333  7.        ] [16.         12.33333333]],26_1
3,1,0.51994301994302,0.6519109820996614,[[15.66666667  8.66666667] [16.66666667 11.66666667]],26_2
3,1,0.4821937321937322,0.6551765844218674,[[14.33333333 10.        ] [17.33333333 11.        ]],26_3
3,1,0.4821937321937322,0.6425374939525883,[[14.33333333 10.        ] [17.33333333 11.        ]],26_4
3,1,0.48836657169990505,0.6425374939525883,[[14.         10.33333333] [16.66666667 11.66666667]],26_5
3,2,0.6588319088319089,1.0,[[14.66666667  9.66666667] [ 8.33333333 20.        ]],1_1
3,2,0.6082621082621082,1.0,[[13.66666667 10.66666667] [10.         18.33333333]],1_2
3,2,0.5892687559354226,1.0,[[13.66666667 10.66666667] [11.         17.33333333]],1_3
3,2,0.6020892687559355,1.0,[[14.         10.33333333] [10.66666667 17.66666667]],1_4
3,2,0.6084995251661919,1.0,[[14.         10.33333333] [10.33333333 18.        ]],1_5
3,2,0.6013770180436847,0.7154088050314465,[[16.          8.33333333] [12.66666667 15.66666667]],6_1
3,2,0.5895061728395061,0.7154692791485244,[[16.          8.33333333] [13.33333333 15.        ]],6_2
3,2,0.595679012345679,0.7123246250604741,[[16.66666667  7.66666667] [13.66666667 14.66666667]],6_3
3,2,0.5954415954415955,0.6964199322689888,[[17.33333333  7.        ] [14.33333333 14.        ]],6_4
3,2,0.5828584995251662,0.6995041122399612,[[17.          7.33333333] [14.66666667 13.66666667]],6_5
3,2,0.5574548907882241,0.7309506531204645,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_1
3,2,0.5641025641025641,0.6961780358006773,[[13.66666667 10.66666667] [12.33333333 16.        ]],11_2
3,2,0.5579297245963912,0.6836598935655539,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_3
3,2,0.5451092117758785,0.683599419448476,[[13.33333333 11.        ] [13.         15.33333333]],11_4
3,2,0.5515194681861348,0.696298984034833,[[13.66666667 10.66666667] [13.         15.33333333]],11_5
3,2,0.576923076923077,0.6805152394775036,[[17.33333333  7.        ] [15.33333333 13.        ]],16_1
3,2,0.570750237416904,0.6866231253023706,[[17.          7.33333333] [15.33333333 13.        ]],16_2
3,2,0.5515194681861348,0.6740445089501693,[[15.          9.33333333] [14.33333333 14.        ]],16_3
3,2,0.5194681861348528,0.6582607643928399,[[14.33333333 10.        ] [15.33333333 13.        ]],16_4
3,2,0.5194681861348528,0.6551765844218674,[[14.33333333 10.        ] [15.33333333 13.        ]],16_5
3,2,0.5574548907882241,0.6741654571843251,[[16.          8.33333333] [15.         13.33333333]],21_1
3,2,0.51329534662868,0.6425979680696662,[[15.          9.33333333] [16.33333333 12.        ]],21_2
3,2,0.5389363722697056,0.6488872762457668,[[15.          9.33333333] [15.         13.33333333]],21_3
3,2,0.5140075973409306,0.6552370585389453,[[14.66666667  9.66666667] [16.         12.33333333]],21_4
3,2,0.5201804368471035,0.652092404450895,[[14.66666667  9.66666667] [15.66666667 12.66666667]],21_5
3,2,0.5638651471984805,0.6865626511852927,[[17.33333333  7.        ] [16.         12.33333333]],26_1
3,2,0.51994301994302,0.6519109820996614,[[15.66666667  8.66666667] [16.66666667 11.66666667]],26_2
3,2,0.4821937321937322,0.6551765844218674,[[14.33333333 10.        ] [17.33333333 11.        ]],26_3
3,2,0.4821937321937322,0.6425374939525883,[[14.33333333 10.        ] [17.33333333 11.        ]],26_4
3,2,0.48836657169990505,0.6425374939525883,[[14.         10.33333333] [16.66666667 11.66666667]],26_5
3,3,0.6588319088319089,1.0,[[14.66666667  9.66666667] [ 8.33333333 20.        ]],1_1
3,3,0.6082621082621082,1.0,[[13.66666667 10.66666667] [10.         18.33333333]],1_2
3,3,0.5892687559354226,1.0,[[13.66666667 10.66666667] [11.         17.33333333]],1_3
3,3,0.6020892687559355,1.0,[[14.         10.33333333] [10.66666667 17.66666667]],1_4
3,3,0.6084995251661919,1.0,[[14.         10.33333333] [10.33333333 18.        ]],1_5
3,3,0.6013770180436847,0.7154088050314465,[[16.          8.33333333] [12.66666667 15.66666667]],6_1
3,3,0.5895061728395061,0.7154692791485244,[[16.          8.33333333] [13.33333333 15.        ]],6_2
3,3,0.595679012345679,0.7123246250604741,[[16.66666667  7.66666667] [13.66666667 14.66666667]],6_3
3,3,0.5954415954415955,0.6964199322689888,[[17.33333333  7.        ] [14.33333333 14.        ]],6_4
3,3,0.5828584995251662,0.6995041122399612,[[17.          7.33333333] [14.66666667 13.66666667]],6_5
3,3,0.5574548907882241,0.7309506531204645,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_1
3,3,0.5641025641025641,0.6961780358006773,[[13.66666667 10.66666667] [12.33333333 16.        ]],11_2
3,3,0.5579297245963912,0.6836598935655539,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_3
3,3,0.5451092117758785,0.683599419448476,[[13.33333333 11.        ] [13.         15.33333333]],11_4
3,3,0.5515194681861348,0.696298984034833,[[13.66666667 10.66666667] [13.         15.33333333]],11_5
3,3,0.576923076923077,0.6805152394775036,[[17.33333333  7.        ] [15.33333333 13.        ]],16_1
3,3,0.570750237416904,0.6866231253023706,[[17.          7.33333333] [15.33333333 13.        ]],16_2
3,3,0.5515194681861348,0.6740445089501693,[[15.          9.33333333] [14.33333333 14.        ]],16_3
3,3,0.5194681861348528,0.6582607643928399,[[14.33333333 10.        ] [15.33333333 13.        ]],16_4
3,3,0.5194681861348528,0.6551765844218674,[[14.33333333 10.        ] [15.33333333 13.        ]],16_5
3,3,0.5574548907882241,0.6741654571843251,[[16.          8.33333333] [15.         13.33333333]],21_1
3,3,0.51329534662868,0.6425979680696662,[[15.          9.33333333] [16.33333333 12.        ]],21_2
3,3,0.5389363722697056,0.6488872762457668,[[15.          9.33333333] [15.         13.33333333]],21_3
3,3,0.5140075973409306,0.6552370585389453,[[14.66666667  9.66666667] [16.         12.33333333]],21_4
3,3,0.5201804368471035,0.652092404450895,[[14.66666667  9.66666667] [15.66666667 12.66666667]],21_5
3,3,0.5638651471984805,0.6865626511852927,[[17.33333333  7.        ] [16.         12.33333333]],26_1
3,3,0.51994301994302,0.6519109820996614,[[15.66666667  8.66666667] [16.66666667 11.66666667]],26_2
3,3,0.4821937321937322,0.6551765844218674,[[14.33333333 10.        ] [17.33333333 11.        ]],26_3
3,3,0.4821937321937322,0.6425374939525883,[[14.33333333 10.        ] [17.33333333 11.        ]],26_4
3,3,0.48836657169990505,0.6425374939525883,[[14.         10.33333333] [16.66666667 11.66666667]],26_5
3,4,0.6588319088319089,1.0,[[14.66666667  9.66666667] [ 8.33333333 20.        ]],1_1
3,4,0.6082621082621082,1.0,[[13.66666667 10.66666667] [10.         18.33333333]],1_2
3,4,0.5892687559354226,1.0,[[13.66666667 10.66666667] [11.         17.33333333]],1_3
3,4,0.6020892687559355,1.0,[[14.         10.33333333] [10.66666667 17.66666667]],1_4
3,4,0.6084995251661919,1.0,[[14.         10.33333333] [10.33333333 18.        ]],1_5
3,4,0.6013770180436847,0.7154088050314465,[[16.          8.33333333] [12.66666667 15.66666667]],6_1
3,4,0.5895061728395061,0.7154692791485244,[[16.          8.33333333] [13.33333333 15.        ]],6_2
3,4,0.595679012345679,0.7123246250604741,[[16.66666667  7.66666667] [13.66666667 14.66666667]],6_3
3,4,0.5954415954415955,0.6964199322689888,[[17.33333333  7.        ] [14.33333333 14.        ]],6_4
3,4,0.5828584995251662,0.6995041122399612,[[17.          7.33333333] [14.66666667 13.66666667]],6_5
3,4,0.5574548907882241,0.7309506531204645,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_1
3,4,0.5641025641025641,0.6961780358006773,[[13.66666667 10.66666667] [12.33333333 16.        ]],11_2
3,4,0.5579297245963912,0.6836598935655539,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_3
3,4,0.5451092117758785,0.683599419448476,[[13.33333333 11.        ] [13.         15.33333333]],11_4
3,4,0.5515194681861348,0.696298984034833,[[13.66666667 10.66666667] [13.         15.33333333]],11_5
3,4,0.576923076923077,0.6805152394775036,[[17.33333333  7.        ] [15.33333333 13.        ]],16_1
3,4,0.570750237416904,0.6866231253023706,[[17.          7.33333333] [15.33333333 13.        ]],16_2
3,4,0.5515194681861348,0.6740445089501693,[[15.          9.33333333] [14.33333333 14.        ]],16_3
3,4,0.5194681861348528,0.6582607643928399,[[14.33333333 10.        ] [15.33333333 13.        ]],16_4
3,4,0.5194681861348528,0.6551765844218674,[[14.33333333 10.        ] [15.33333333 13.        ]],16_5
3,4,0.5574548907882241,0.6741654571843251,[[16.          8.33333333] [15.         13.33333333]],21_1
3,4,0.51329534662868,0.6425979680696662,[[15.          9.33333333] [16.33333333 12.        ]],21_2
3,4,0.5389363722697056,0.6488872762457668,[[15.          9.33333333] [15.         13.33333333]],21_3
3,4,0.5140075973409306,0.6552370585389453,[[14.66666667  9.66666667] [16.         12.33333333]],21_4
3,4,0.5201804368471035,0.652092404450895,[[14.66666667  9.66666667] [15.66666667 12.66666667]],21_5
3,4,0.5638651471984805,0.6865626511852927,[[17.33333333  7.        ] [16.         12.33333333]],26_1
3,4,0.51994301994302,0.6519109820996614,[[15.66666667  8.66666667] [16.66666667 11.66666667]],26_2
3,4,0.4821937321937322,0.6551765844218674,[[14.33333333 10.        ] [17.33333333 11.        ]],26_3
3,4,0.4821937321937322,0.6425374939525883,[[14.33333333 10.        ] [17.33333333 11.        ]],26_4
3,4,0.48836657169990505,0.6425374939525883,[[14.         10.33333333] [16.66666667 11.66666667]],26_5
3,5,0.6588319088319089,1.0,[[14.66666667  9.66666667] [ 8.33333333 20.        ]],1_1
3,5,0.6082621082621082,1.0,[[13.66666667 10.66666667] [10.         18.33333333]],1_2
3,5,0.5892687559354226,1.0,[[13.66666667 10.66666667] [11.         17.33333333]],1_3
3,5,0.6020892687559355,1.0,[[14.         10.33333333] [10.66666667 17.66666667]],1_4
3,5,0.6084995251661919,1.0,[[14.         10.33333333] [10.33333333 18.        ]],1_5
3,5,0.6013770180436847,0.7154088050314465,[[16.          8.33333333] [12.66666667 15.66666667]],6_1
3,5,0.5895061728395061,0.7154692791485244,[[16.          8.33333333] [13.33333333 15.        ]],6_2
3,5,0.595679012345679,0.7123246250604741,[[16.66666667  7.66666667] [13.66666667 14.66666667]],6_3
3,5,0.5954415954415955,0.6964199322689888,[[17.33333333  7.        ] [14.33333333 14.        ]],6_4
3,5,0.5828584995251662,0.6995041122399612,[[17.          7.33333333] [14.66666667 13.66666667]],6_5
3,5,0.5574548907882241,0.7309506531204645,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_1
3,5,0.5641025641025641,0.6961780358006773,[[13.66666667 10.66666667] [12.33333333 16.        ]],11_2
3,5,0.5579297245963912,0.6836598935655539,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_3
3,5,0.5451092117758785,0.683599419448476,[[13.33333333 11.        ] [13.         15.33333333]],11_4
3,5,0.5515194681861348,0.696298984034833,[[13.66666667 10.66666667] [13.         15.33333333]],11_5
3,5,0.576923076923077,0.6805152394775036,[[17.33333333  7.        ] [15.33333333 13.        ]],16_1
3,5,0.570750237416904,0.6866231253023706,[[17.          7.33333333] [15.33333333 13.        ]],16_2
3,5,0.5515194681861348,0.6740445089501693,[[15.          9.33333333] [14.33333333 14.        ]],16_3
3,5,0.5194681861348528,0.6582607643928399,[[14.33333333 10.        ] [15.33333333 13.        ]],16_4
3,5,0.5194681861348528,0.6551765844218674,[[14.33333333 10.        ] [15.33333333 13.        ]],16_5
3,5,0.5574548907882241,0.6741654571843251,[[16.          8.33333333] [15.         13.33333333]],21_1
3,5,0.51329534662868,0.6425979680696662,[[15.          9.33333333] [16.33333333 12.        ]],21_2
3,5,0.5389363722697056,0.6488872762457668,[[15.          9.33333333] [15.         13.33333333]],21_3
3,5,0.5140075973409306,0.6552370585389453,[[14.66666667  9.66666667] [16.         12.33333333]],21_4
3,5,0.5201804368471035,0.652092404450895,[[14.66666667  9.66666667] [15.66666667 12.66666667]],21_5
3,5,0.5638651471984805,0.6865626511852927,[[17.33333333  7.        ] [16.         12.33333333]],26_1
3,5,0.51994301994302,0.6519109820996614,[[15.66666667  8.66666667] [16.66666667 11.66666667]],26_2
3,5,0.4821937321937322,0.6551765844218674,[[14.33333333 10.        ] [17.33333333 11.        ]],26_3
3,5,0.4821937321937322,0.6425374939525883,[[14.33333333 10.        ] [17.33333333 11.        ]],26_4
3,5,0.48836657169990505,0.6425374939525883,[[14.         10.33333333] [16.66666667 11.66666667]],26_5
3,6,0.6588319088319089,1.0,[[14.66666667  9.66666667] [ 8.33333333 20.        ]],1_1
3,6,0.6082621082621082,1.0,[[13.66666667 10.66666667] [10.         18.33333333]],1_2
3,6,0.5892687559354226,1.0,[[13.66666667 10.66666667] [11.         17.33333333]],1_3
3,6,0.6020892687559355,1.0,[[14.         10.33333333] [10.66666667 17.66666667]],1_4
3,6,0.6084995251661919,1.0,[[14.         10.33333333] [10.33333333 18.        ]],1_5
3,6,0.6013770180436847,0.7154088050314465,[[16.          8.33333333] [12.66666667 15.66666667]],6_1
3,6,0.5895061728395061,0.7154692791485244,[[16.          8.33333333] [13.33333333 15.        ]],6_2
3,6,0.595679012345679,0.7123246250604741,[[16.66666667  7.66666667] [13.66666667 14.66666667]],6_3
3,6,0.5954415954415955,0.6964199322689888,[[17.33333333  7.        ] [14.33333333 14.        ]],6_4
3,6,0.5828584995251662,0.6995041122399612,[[17.          7.33333333] [14.66666667 13.66666667]],6_5
3,6,0.5574548907882241,0.7309506531204645,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_1
3,6,0.5641025641025641,0.6961780358006773,[[13.66666667 10.66666667] [12.33333333 16.        ]],11_2
3,6,0.5579297245963912,0.6836598935655539,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_3
3,6,0.5451092117758785,0.683599419448476,[[13.33333333 11.        ] [13.         15.33333333]],11_4
3,6,0.5515194681861348,0.696298984034833,[[13.66666667 10.66666667] [13.         15.33333333]],11_5
3,6,0.576923076923077,0.6805152394775036,[[17.33333333  7.        ] [15.33333333 13.        ]],16_1
3,6,0.570750237416904,0.6866231253023706,[[17.          7.33333333] [15.33333333 13.        ]],16_2
3,6,0.5515194681861348,0.6740445089501693,[[15.          9.33333333] [14.33333333 14.        ]],16_3
3,6,0.5194681861348528,0.6582607643928399,[[14.33333333 10.        ] [15.33333333 13.        ]],16_4
3,6,0.5194681861348528,0.6551765844218674,[[14.33333333 10.        ] [15.33333333 13.        ]],16_5
3,6,0.5574548907882241,0.6741654571843251,[[16.          8.33333333] [15.         13.33333333]],21_1
3,6,0.51329534662868,0.6425979680696662,[[15.          9.33333333] [16.33333333 12.        ]],21_2
3,6,0.5389363722697056,0.6488872762457668,[[15.          9.33333333] [15.         13.33333333]],21_3
3,6,0.5140075973409306,0.6552370585389453,[[14.66666667  9.66666667] [16.         12.33333333]],21_4
3,6,0.5201804368471035,0.652092404450895,[[14.66666667  9.66666667] [15.66666667 12.66666667]],21_5
3,6,0.5638651471984805,0.6865626511852927,[[17.33333333  7.        ] [16.         12.33333333]],26_1
3,6,0.51994301994302,0.6519109820996614,[[15.66666667  8.66666667] [16.66666667 11.66666667]],26_2
3,6,0.4821937321937322,0.6551765844218674,[[14.33333333 10.        ] [17.33333333 11.        ]],26_3
3,6,0.4821937321937322,0.6425374939525883,[[14.33333333 10.        ] [17.33333333 11.        ]],26_4
3,6,0.48836657169990505,0.6425374939525883,[[14.         10.33333333] [16.66666667 11.66666667]],26_5
3,7,0.6588319088319089,1.0,[[14.66666667  9.66666667] [ 8.33333333 20.        ]],1_1
3,7,0.6082621082621082,1.0,[[13.66666667 10.66666667] [10.         18.33333333]],1_2
3,7,0.5892687559354226,1.0,[[13.66666667 10.66666667] [11.         17.33333333]],1_3
3,7,0.6020892687559355,1.0,[[14.         10.33333333] [10.66666667 17.66666667]],1_4
3,7,0.6084995251661919,1.0,[[14.         10.33333333] [10.33333333 18.        ]],1_5
3,7,0.6013770180436847,0.7154088050314465,[[16.          8.33333333] [12.66666667 15.66666667]],6_1
3,7,0.5895061728395061,0.7154692791485244,[[16.          8.33333333] [13.33333333 15.        ]],6_2
3,7,0.595679012345679,0.7123246250604741,[[16.66666667  7.66666667] [13.66666667 14.66666667]],6_3
3,7,0.5954415954415955,0.6964199322689888,[[17.33333333  7.        ] [14.33333333 14.        ]],6_4
3,7,0.5828584995251662,0.6995041122399612,[[17.          7.33333333] [14.66666667 13.66666667]],6_5
3,7,0.5574548907882241,0.7309506531204645,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_1
3,7,0.5641025641025641,0.6961780358006773,[[13.66666667 10.66666667] [12.33333333 16.        ]],11_2
3,7,0.5579297245963912,0.6836598935655539,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_3
3,7,0.5451092117758785,0.683599419448476,[[13.33333333 11.        ] [13.         15.33333333]],11_4
3,7,0.5515194681861348,0.696298984034833,[[13.66666667 10.66666667] [13.         15.33333333]],11_5
3,7,0.576923076923077,0.6805152394775036,[[17.33333333  7.        ] [15.33333333 13.        ]],16_1
3,7,0.570750237416904,0.6866231253023706,[[17.          7.33333333] [15.33333333 13.        ]],16_2
3,7,0.5515194681861348,0.6740445089501693,[[15.          9.33333333] [14.33333333 14.        ]],16_3
3,7,0.5194681861348528,0.6582607643928399,[[14.33333333 10.        ] [15.33333333 13.        ]],16_4
3,7,0.5194681861348528,0.6551765844218674,[[14.33333333 10.        ] [15.33333333 13.        ]],16_5
3,7,0.5574548907882241,0.6741654571843251,[[16.          8.33333333] [15.         13.33333333]],21_1
3,7,0.51329534662868,0.6425979680696662,[[15.          9.33333333] [16.33333333 12.        ]],21_2
3,7,0.5389363722697056,0.6488872762457668,[[15.          9.33333333] [15.         13.33333333]],21_3
3,7,0.5140075973409306,0.6552370585389453,[[14.66666667  9.66666667] [16.         12.33333333]],21_4
3,7,0.5201804368471035,0.652092404450895,[[14.66666667  9.66666667] [15.66666667 12.66666667]],21_5
3,7,0.5638651471984805,0.6865626511852927,[[17.33333333  7.        ] [16.         12.33333333]],26_1
3,7,0.51994301994302,0.6519109820996614,[[15.66666667  8.66666667] [16.66666667 11.66666667]],26_2
3,7,0.4821937321937322,0.6551765844218674,[[14.33333333 10.        ] [17.33333333 11.        ]],26_3
3,7,0.4821937321937322,0.6425374939525883,[[14.33333333 10.        ] [17.33333333 11.        ]],26_4
3,7,0.48836657169990505,0.6425374939525883,[[14.         10.33333333] [16.66666667 11.66666667]],26_5
3,8,0.6588319088319089,1.0,[[14.66666667  9.66666667] [ 8.33333333 20.        ]],1_1
3,8,0.6082621082621082,1.0,[[13.66666667 10.66666667] [10.         18.33333333]],1_2
3,8,0.5892687559354226,1.0,[[13.66666667 10.66666667] [11.         17.33333333]],1_3
3,8,0.6020892687559355,1.0,[[14.         10.33333333] [10.66666667 17.66666667]],1_4
3,8,0.6084995251661919,1.0,[[14.         10.33333333] [10.33333333 18.        ]],1_5
3,8,0.6013770180436847,0.7154088050314465,[[16.          8.33333333] [12.66666667 15.66666667]],6_1
3,8,0.5895061728395061,0.7154692791485244,[[16.          8.33333333] [13.33333333 15.        ]],6_2
3,8,0.595679012345679,0.7123246250604741,[[16.66666667  7.66666667] [13.66666667 14.66666667]],6_3
3,8,0.5954415954415955,0.6964199322689888,[[17.33333333  7.        ] [14.33333333 14.        ]],6_4
3,8,0.5828584995251662,0.6995041122399612,[[17.          7.33333333] [14.66666667 13.66666667]],6_5
3,8,0.5574548907882241,0.7309506531204645,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_1
3,8,0.5641025641025641,0.6961780358006773,[[13.66666667 10.66666667] [12.33333333 16.        ]],11_2
3,8,0.5579297245963912,0.6836598935655539,[[13.66666667 10.66666667] [12.66666667 15.66666667]],11_3
3,8,0.5451092117758785,0.683599419448476,[[13.33333333 11.        ] [13.         15.33333333]],11_4
3,8,0.5515194681861348,0.696298984034833,[[13.66666667 10.66666667] [13.         15.33333333]],11_5
3,8,0.576923076923077,0.6805152394775036,[[17.33333333  7.        ] [15.33333333 13.        ]],16_1
3,8,0.570750237416904,0.6866231253023706,[[17.          7.33333333] [15.33333333 13.        ]],16_2
3,8,0.5515194681861348,0.6740445089501693,[[15.          9.33333333] [14.33333333 14.        ]],16_3
3,8,0.5194681861348528,0.6582607643928399,[[14.33333333 10.        ] [15.33333333 13.        ]],16_4
3,8,0.5194681861348528,0.6551765844218674,[[14.33333333 10.        ] [15.33333333 13.        ]],16_5
3,8,0.5574548907882241,0.6741654571843251,[[16.          8.33333333] [15.         13.33333333]],21_1
3,8,0.51329534662868,0.6425979680696662,[[15.          9.33333333] [16.33333333 12.        ]],21_2
3,8,0.5389363722697056,0.6488872762457668,[[15.          9.33333333] [15.         13.33333333]],21_3
3,8,0.5140075973409306,0.6552370585389453,[[14.66666667  9.66666667] [16.         12.33333333]],21_4
3,8,0.5201804368471035,0.652092404450895,[[14.66666667  9.66666667] [15.66666667 12.66666667]],21_5
3,8,0.5638651471984805,0.6865626511852927,[[17.33333333  7.        ] [16.         12.33333333]],26_1
3,8,0.51994301994302,0.6519109820996614,[[15.66666667  8.66666667] [16.66666667 11.66666667]],26_2
3,8,0.4821937321937322,0.6551765844218674,[[14.33333333 10.        ] [17.33333333 11.        ]],26_3
3,8,0.4821937321937322,0.6425374939525883,[[14.33333333 10.        ] [17.33333333 11.        ]],26_4
3,8,0.48836657169990505,0.6425374939525883,[[14.         10.33333333] [16.66666667 11.66666667]],26_5
3,9,0.6588319088319089,1.0,[[14.66666667  9.66666667] [ 8.33333333 20.        ]],1_1
3,9,0.6082621082621082,1.0,[[13.66666667 10.66666667] [10.         18.33333333]],1_2
3,9,0.5892687559354226,1.0,[[13.66666667 10.66666667] [11.         17.33333333]],1_3
3,9,0.6020892687559355,1.0,[[14.         10.33333333] [10.66666667 17.66666667]],1_4
3,9,0.6084995251661919,1.0,[[14.         10.33333333] [10.33333333 18.        ]],1_5
3,9,0.6013770180436847,0.7154088050314465,[[16.          8.33333333] [12.66666667 15.66666667]],6_1
3,9,0.5895061728395061,0.7154692791485244,[[16.          8.33333333] [13.33333333 15.        ]],6_2
